,,,
Teties,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
105000,74.60317460317461,92.31960359244347,1.4560102030445539,315.816
106000,75.09920634920636,92.52090430473831,1.432895030171954,318.814
107000,74.60317460317461,92.41251161350263,1.4299556040849837,321.812
108000,74.70238095238095,92.53638897491483,1.4412130085134696,324.809
109000,74.70238095238095,92.5673583152679,1.4384525224493405,327.809
110000,75,92.62929699597399,1.4203942796299982,330.805
111000,74.8015873015873,92.52090430473831,1.4258818743546549,333.801
112000,75.09920634920636,92.61381232579747,1.400092667103195,336.788
113000,75.29761904761905,92.47445029420874,1.3720005263823656,339.781
114000,75.89285714285714,92.73768968720967,1.3709570035389667,342.766
115000,75.29761904761905,92.79962836791576,1.4025362941344144,345.753
116000,75.89285714285714,93.0009290802106,1.3833939126218064,348.75
117000,75.59523809523809,92.81511303809229,1.363243719399679,351.748
118000,76.19047619047619,92.78414369773924,1.3483729115005565,354.738
119000,75.9920634920635,92.81511303809229,1.3563443230570815,357.732
120000,75.89285714285714,92.96995973985754,1.3603085297930406,360.727
121000,76.09126984126983,92.78414369773924,1.33581950113283,363.732
122000,75.79365079365078,92.86156704862186,1.338506605027425,366.732
123000,76.68650793650794,92.92350572932796,1.3221847327069023,369.729
124000,76.28968253968253,92.93899039950449,1.32938269686548,372.721
125000,75.9920634920635,92.83059770826881,1.3019683057849654,375.717
126000,76.19047619047619,92.89253638897492,1.285589490912006,378.711
127000,76.5873015873016,93.0009290802106,1.3109114366981525,381.726
128000,76.38888888888889,92.95447506968102,1.2825440112890685,384.725
129000,76.68650793650794,92.92350572932796,1.276238524803882,387.723
130000,77.08333333333334,93.1867451223289,1.2868460215388937,390.728
131000,77.28174603174604,93.14029111179933,1.2740483468944341,393.718
132000,76.88492063492063,93.26416847321151,1.2772937430068447,396.708
133000,77.18253968253968,93.26416847321151,1.2619182212700701,399.713
134000,77.38095238095238,93.23319913285847,1.2653530881017536,402.723
135000,77.77777777777779,93.34159182409415,1.2493124343107531,405.712
136000,77.57936507936508,93.34159182409415,1.2534488244276447,408.711
137000,77.97619047619048,93.27965314338805,1.2263714174128941,411.706
138000,77.67857142857143,93.29513781356457,1.2234793245921007,414.712
139000,77.97619047619048,93.3725611644472,1.2320738924805439,417.706
140000,77.97619047619048,93.46546918550635,1.2416236099524125,420.696
141000,78.17460317460318,93.40353050480024,1.2088496736590757,423.686
142000,78.07539682539682,93.34159182409415,1.2148028418497,426.683
143000,78.37301587301587,93.40353050480024,1.2042427482903175,429.674
144000,77.97619047619048,93.44998451532982,1.2395734615376577,432.665
145000,78.27380952380952,93.46546918550635,1.2029003115009207,435.658
146000,78.47222222222221,93.41901517497678,1.1976932812963559,438.647
147000,78.27380952380952,93.4344998451533,1.1930777745546772,441.64
148000,78.96825396825396,93.4344998451533,1.1676317030036503,444.623
149000,78.27380952380952,93.52740786621246,1.195113896227732,447.621
150000,79.06746031746032,93.60483121709507,1.1622232118157303,450.612
151000,78.76984126984127,93.5583772065655,1.1677627778892694,453.609
152000,78.76984126984127,93.46546918550635,1.1596404731153496,456.61
153000,78.86904761904762,93.65128522762464,1.176330041825637,459.607
154000,79.16666666666666,93.66676989780117,1.155184933617948,462.597
155000,79.56349206349206,93.71322390833076,1.1496283109335192,465.608
156000,79.6626984126984,93.69773923815423,1.1362849794955496,468.621
157000,79.26587301587301,93.65128522762464,1.1327158704113365,471.611
158000,79.36507936507937,93.63580055744812,1.1338481034680865,474.607
159000,79.56349206349206,93.79064725921337,1.141178135358425,477.608
160000,79.26587301587301,93.71322390833076,1.1562513960583098,480.6
161000,79.46428571428571,93.72870857850728,1.1225782096556713,483.602
162000,80.05952380952381,93.85258593991948,1.1215113063497124,486.666
163000,79.6626984126984,93.86807061009601,1.124469978444585,489.683
164000,80.05952380952381,93.83710126974294,1.1111473222330155,492.708
165000,80.15873015873017,93.88355528027253,1.1094317973466454,495.731
166000,79.96031746031747,93.82161659956643,1.1180286638117165,498.762
167000,80.65476190476191,93.99194797150821,1.0910847932619196,501.786
