Antal H lag: 1|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
49000,84.72222222,95.60235367,0.926910392,21.836,,,,,,,,,,,
50000,84.62301587,95.71074636,0.919984891,22.277,,,,,,,,,,,
51000,84.12698413,95.69526169,0.928946976,22.716,,,,,,,,,,,
52000,84.82142857,95.72623103,0.941157814,23.154,,,,,,,,,,,
53000,85.01984127,95.81913905,0.92954066,23.595,,,,,,,,,,,
54000,84.42460317,95.63332301,0.93880107,24.037,,,,,,,,,,,
55000,85.51587302,95.8965624,0.913311637,24.477,,,,,,,,,,,
56000,85.21825397,95.83462372,0.905630676,24.921,,,,,,,,,,,
57000,85.71428571,95.94301641,0.90836845,25.36,,,,,,,,,,,
58000,86.11111111,96.06689378,0.881480981,25.798,,,,,,,,,,,
59000,86.60714286,96.02043976,0.869265462,26.235,,,,,,,,,,,
60000,86.11111111,95.91204707,0.865470305,26.676,,,,,,,,,,,
61000,86.01190476,96.02043976,0.854933048,27.114,,,,,,,,,,,
62000,85.91269841,96.02043976,0.860499649,27.552,,,,,,,,,,,
63000,86.01190476,96.00495509,0.846994325,27.992,,,,,,,,,,,
64000,86.21031746,95.98947042,0.860713326,28.431,,,,,,,,,,,
65000,86.50793651,96.02043976,0.834459804,28.871,,,,,,,,,,,
66000,86.80555556,96.1598018,0.832809898,29.309,,,,,,,,,,,
67000,87.5,96.19077114,0.801308317,29.749,,,,,,,,,,,
68000,87.6984127,96.17528647,0.799940372,30.189,,,,,,,,,,,
69000,87.40079365,96.20625581,0.807901209,30.627,,,,,,,,,,,
70000,87.40079365,96.17528647,0.810638511,31.069,,,,,,,,,,,
71000,87.5,96.28367916,0.802219801,31.507,,,,,,,,,,,
72000,87.3015873,96.28367916,0.802103632,31.947,,,,,,,,,,,
73000,87.20238095,96.3146485,0.817506233,32.385,,,,,,,,,,,
74000,87.20238095,96.37658718,0.822587173,32.823,,,,,,,,,,,
75000,87.1031746,96.37658718,0.831523783,33.261,,,,,,,,,,,
76000,87.3015873,96.43852586,0.828577805,33.7,,,,,,,,,,,
77000,87.3015873,96.40755652,0.836655271,34.14,,,,,,,,,,,
78000,87.8968254,96.57788789,0.805708068,34.576,,,,,,,,,,,
79000,88.0952381,96.51594921,0.784869852,35.014,,,,,,,,,,,
80000,87.99603175,96.53143388,0.773878895,35.453,,,,,,,,,,,
81000,87.99603175,96.59337256,0.768848234,35.894,,,,,,,,,,,
82000,87.8968254,96.45401053,0.751970195,36.336,,,,,,,,,,,
83000,88.19444444,96.56240322,0.736815428,36.776,,,,,,,,,,,
84000,88.39285714,96.60885723,0.734948652,37.214,,,,,,,,,,,
85000,88.0952381,96.59337256,0.726090874,37.651,,,,,,,,,,,
