Antal H lag: 1|Nueroner pr lag 50,,,,,,,,,,,Lag 1,Lag 2,Lag 3,Lag 4,Lag 5
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,48.41269841,52.57936508,55.45634921,50.1984127,24.4047619
35000,33.92857143,81.72808919,4.630358459,16.909,,,,,,,,,,,
36000,34.22619048,81.91390523,4.562973514,17.381,,,,,,,,,,,
37000,34.62301587,82.11520595,4.505468392,17.853,,,,,,,,,,,
38000,34.72222222,82.09972128,4.436065654,18.325,,,,,,,,,,,
39000,34.92063492,82.36296067,4.360826796,18.798,,,,,,,,,,,
40000,35.51587302,82.6571694,4.293733152,19.281,,,,,,,,,,,
41000,36.11111111,82.84298544,4.238153794,19.754,,,,,,,,,,,
42000,36.60714286,82.9204088,4.188390995,20.226,,,,,,,,,,,
43000,36.9047619,83.19913286,4.149364031,20.696,,,,,,,,,,,
44000,37.6984127,83.46237225,4.105877978,21.169,,,,,,,,,,,
45000,37.8968254,83.74109631,4.090887545,21.641,,,,,,,,,,,
46000,37.5,83.84948901,4.080229782,22.114,,,,,,,,,,,
47000,38.78968254,84.06627439,3.982143759,22.588,,,,,,,,,,,
48000,39.28571429,84.34499845,3.922211206,23.06,,,,,,,,,,,
49000,39.58333333,84.31402911,3.897748367,23.534,,,,,,,,,,,
50000,39.48412698,84.31402911,3.872792053,24.006,,,,,,,,,,,
51000,39.58333333,84.5772685,3.793915634,24.477,,,,,,,,,,,
52000,40.17857143,84.77856922,3.735271641,24.949,,,,,,,,,,,
53000,40.27777778,84.94890059,3.702809945,25.421,,,,,,,,,,,
54000,41.17063492,84.93341592,3.614056674,25.893,,,,,,,,,,,
55000,41.07142857,84.9953546,3.609091743,26.37,,,,,,,,,,,
56000,41.46825397,85.1502013,3.584333563,26.843,,,,,,,,,,,
57000,42.06349206,85.35150201,3.563569002,27.316,,,,,,,,,,,
58000,42.55952381,85.35150201,3.517016954,27.792,,,,,,,,,,,
59000,42.75793651,85.36698668,3.479377433,28.275,,,,,,,,,,,
60000,43.65079365,85.67668009,3.458082812,28.752,,,,,,,,,,,
61000,43.45238095,85.59925674,3.410433916,29.226,,,,,,,,,,,
62000,43.3531746,85.63022608,3.373192584,29.698,,,,,,,,,,,
63000,44.04761905,85.92443481,3.344253351,30.173,,,,,,,,,,,
64000,44.64285714,85.97088882,3.300907227,30.65,,,,,,,,,,,
65000,45.13888889,86.07928151,3.261605765,31.128,,,,,,,,,,,
66000,45.23809524,86.12573552,3.21910663,31.601,,,,,,,,,,,
67000,45.93253968,86.17218953,3.177768881,32.073,,,,,,,,,,,
68000,46.32936508,86.32703623,3.134126336,32.549,,,,,,,,,,,
69000,47.02380952,86.52833695,3.116876502,33.023,,,,,,,,,,,
70000,47.51984127,86.66769898,3.106241603,33.497,,,,,,,,,,,
71000,47.71825397,86.80706101,3.098597121,33.97,,,,,,,,,,,
72000,47.02380952,86.69866832,3.06562451,34.443,,,,,,,,,,,
73000,47.61904762,86.85351502,3.020422199,34.924,,,,,,,,,,,
74000,48.11507937,86.89996903,2.991611043,35.399,,,,,,,,,,,
75000,48.41269841,87.03933106,2.986634862,35.874,,,,,,,,,,,
76000,48.31349206,87.13223908,2.96297561,36.348,,,,,,,,,,,
77000,49.4047619,87.24063177,2.909264819,36.821,,,,,,,,,,,
78000,49.6031746,87.31805513,2.889825749,37.294,,,,,,,,,,,
79000,50.29761905,87.3335398,2.810562455,37.772,,,,,,,,,,,
80000,50.79365079,87.44193249,2.785952561,38.245,,,,,,,,,,,
81000,51.48809524,87.78259523,2.780004233,38.718,,,,,,,,,,,
82000,51.09126984,87.73614122,2.773628998,39.19,,,,,,,,,,,
83000,51.28968254,87.7980799,2.715471738,39.662,,,,,,,,,,,
84000,51.58730159,87.89098792,2.683058658,40.136,,,,,,,,,,,
85000,51.58730159,87.92195726,2.65662999,40.61,,,,,,,,,,,
86000,51.88492063,87.96841127,2.656531638,41.092,,,,,,,,,,,
87000,52.77777778,88.20068133,2.655962612,41.565,,,,,,,,,,,
88000,53.07539683,88.216166,2.637975948,42.041,,,,,,,,,,,
89000,53.07539683,88.30907402,2.594723593,42.514,,,,,,,,,,,
90000,53.86904762,88.3710127,2.563121544,42.992,,,,,,,,,,,
91000,53.86904762,88.34004336,2.556545401,43.467,,,,,,,,,,,
92000,53.67063492,88.35552803,2.528928906,43.942,,,,,,,,,,,
93000,54.16666667,88.44843605,2.512324094,44.415,,,,,,,,,,,
94000,54.56349206,88.60328275,2.491154025,44.91,,,,,,,,,,,
95000,54.96031746,88.63425209,2.483419664,45.385,,,,,,,,,,,
96000,55.25793651,88.6807061,2.464763901,45.858,,,,,,,,,,,
97000,55.05952381,88.63425209,2.435132633,46.334,,,,,,,,,,,
98000,55.6547619,88.74264478,2.4332445,46.809,,,,,,,,,,,
99000,55.45634921,88.82006813,2.418330752,47.283,,,,,,,,,,,
,,,,,,,,,,,,,,,
Antal H lag: 4|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
0,3.273809524,1.254258284,16.56159733,0.305,,,,,,,,,,,
1000,10.31746032,32.13069062,9.999459486,0.827,,,,,,,,,,,
2000,15.27777778,49.31867451,9.437310005,1.348,,,,,,,,,,,
3000,19.1468254,56.85970889,8.946682916,1.876,,,,,,,,,,,
4000,20.33730159,62.07804274,8.432112885,2.407,,,,,,,,,,,
5000,22.42063492,65.62403221,8.094820902,2.939,,,,,,,,,,,
6000,24.00793651,68.44224218,7.763284857,3.457,,,,,,,,,,,
7000,24.6031746,70.54815732,7.374766968,3.976,,,,,,,,,,,
8000,26.28968254,72.09662434,7.188212347,4.506,,,,,,,,,,,
9000,26.98412698,72.97925054,6.918733153,5.033,,,,,,,,,,,
10000,27.77777778,74.65159492,6.666466587,5.552,,,,,,,,,,,
11000,28.47222222,75.33292041,6.376993134,6.072,,,,,,,,,,,
12000,28.17460317,75.64261381,6.192270209,6.595,,,,,,,,,,,
13000,29.56349206,77.0517188,6.098317786,7.123,,,,,,,,,,,
14000,29.66269841,77.22205017,5.891905019,7.643,,,,,,,,,,,
15000,29.56349206,77.31495819,5.716669754,8.163,,,,,,,,,,,
16000,29.46428571,77.7794983,5.660798252,8.684,,,,,,,,,,,
17000,30.05952381,78.18209972,5.527158143,9.209,,,,,,,,,,,
18000,30.25793651,78.56921648,5.466373543,9.729,,,,,,,,,,,
19000,30.95238095,78.83245587,5.369439307,10.248,,,,,,,,,,,
20000,30.75396825,78.98730257,5.221517294,10.776,,,,,,,,,,,
21000,31.15079365,79.21957262,5.043697088,11.295,,,,,,,,,,,
22000,31.0515873,79.80799009,4.944750175,11.818,,,,,,,,,,,
23000,31.25,79.90089811,4.862246125,12.343,,,,,,,,,,,
24000,32.04365079,80.5822236,4.810192414,12.877,,,,,,,,,,,
25000,32.24206349,80.90740167,4.741500115,13.396,,,,,,,,,,,
26000,33.03571429,80.98482502,4.638314437,13.916,,,,,,,,,,,
27000,33.03571429,80.98482502,4.596515048,14.437,,,,,,,,,,,
28000,33.92857143,81.65066584,4.486518446,14.958,,,,,,,,,,,
29000,35.11904762,82.02229793,4.465774564,15.476,,,,,,,,,,,
30000,35.51587302,82.05326727,4.396134015,15.995,,,,,,,,,,,
31000,35.21825397,82.1926293,4.304204406,16.511,,,,,,,,,,,
32000,35.61507937,82.57974605,4.177211218,17.028,,,,,,,,,,,
33000,36.21031746,82.59523072,4.090430525,17.547,,,,,,,,,,,
34000,36.40873016,82.87395478,4.088039807,18.065,,,,,,,,,,,
35000,36.9047619,82.95137814,3.992246063,18.585,,,,,,,,,,,
36000,36.9047619,83.26107154,3.98642329,19.101,,,,,,,,,,,
37000,37.5,83.55528027,3.954857188,19.616,,,,,,,,,,,
38000,38.88888889,83.92691236,3.83203948,20.135,,,,,,,,,,,
39000,38.59126984,84.08175906,3.838950868,20.654,,,,,,,,,,,
40000,38.88888889,84.25209043,3.769936373,21.173,,,,,,,,,,,
41000,39.38492063,83.52431093,3.679503814,21.692,,,,,,,,,,,
42000,39.18650794,84.15918241,3.727210408,22.206,,,,,,,,,,,
43000,40.67460317,84.51532982,3.578342863,22.727,,,,,,,,,,,
44000,39.68253968,84.6856612,3.619623656,23.243,,,,,,,,,,,
45000,40.17857143,84.62372251,3.595355969,23.76,,,,,,,,,,,
46000,41.26984127,84.77856922,3.50903534,24.282,,,,,,,,,,,
47000,41.66666667,84.71663054,3.461928084,24.812,,,,,,,,,,,
48000,41.56746032,85.16568597,3.491252057,25.333,,,,,,,,,,,
49000,41.36904762,85.01083927,3.485490107,25.862,,,,,,,,,,,
50000,42.26190476,85.18117064,3.409029141,26.381,,,,,,,,,,,
51000,43.25396825,85.39795602,3.35247874,26.904,,,,,,,,,,,
52000,43.9484127,85.7231341,3.265006344,27.423,,,,,,,,,,,
53000,43.25396825,85.66119542,3.30880725,27.943,,,,,,,,,,,
54000,42.65873016,85.59925674,3.366361883,28.464,,,,,,,,,,,
55000,43.25396825,85.58377207,3.336713929,28.984,,,,,,,,,,,
56000,45.13888889,86.06379684,3.237886275,29.504,,,,,,,,,,,
57000,45.53571429,86.26509755,3.193131755,30.026,,,,,,,,,,,
58000,45.53571429,86.4509136,3.216363238,30.547,,,,,,,,,,,
59000,45.53571429,86.54382162,3.190087016,31.067,,,,,,,,,,,
60000,45.53571429,86.3425209,3.167357752,31.59,,,,,,,,,,,
61000,46.62698413,86.69866832,3.044844867,32.119,,,,,,,,,,,
62000,46.82539683,86.59027563,3.089901705,32.645,,,,,,,,,,,
63000,47.12301587,86.48188294,3.021200796,33.177,,,,,,,,,,,
64000,47.22222222,86.83803035,3.035850044,33.698,,,,,,,,,,,
65000,47.42063492,87.11675441,3.026110476,34.217,,,,,,,,,,,
66000,47.42063492,86.88448436,3.012098811,34.738,,,,,,,,,,,
67000,48.11507937,86.79157634,2.970018705,35.259,,,,,,,,,,,
