Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Accuracy,Err,Time
48000,16.36904762,0.029166666,291.687
49000,17.85714286,0.029666963,297.761
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Accuracy,Err,Time
0,1.785714286,0.027314214,0.213
1000,4.464285714,0.028311898,10.01
2000,7.936507937,0.02765893,19.805
3000,11.60714286,0.027527135,29.6
4000,13.69047619,0.027341955,39.398
5000,14.08730159,0.027502613,49.197
6000,14.58333333,0.027865917,59.015
7000,16.36904762,0.028243659,68.822
8000,17.16269841,0.028042009,78.632
9000,15.57539683,0.028083643,88.443
10000,17.95634921,0.028228282,98.262
11000,18.05555556,0.02798973,108.056
12000,19.24603175,0.028136302,117.856
13000,18.84920635,0.028758814,127.654
14000,19.94047619,0.028841821,137.449
15000,20.23809524,0.029120575,147.247
16000,20.43650794,0.02927218,157.053
17000,20.23809524,0.029171642,166.865
18000,19.1468254,0.028948696,176.664
19000,19.84126984,0.02911618,186.461
20000,19.94047619,0.029201687,196.262
21000,19.84126984,0.029158512,206.057
22000,20.03968254,0.028762807,215.858
23000,22.71825397,0.028854654,225.659
24000,22.81746032,0.028676077,235.453
25000,21.92460317,0.029116148,245.25
26000,22.32142857,0.029195481,255.049
27000,22.22222222,0.029051037,264.849
28000,22.42063492,0.02941938,274.649
29000,21.92460317,0.028720419,284.445
30000,21.52777778,0.029257034,294.242
31000,21.72619048,0.028913913,304.036
32000,22.22222222,0.029178172,313.833
33000,22.22222222,0.029047249,323.629
34000,21.52777778,0.029536008,333.427
35000,22.51984127,0.028611084,343.222
36000,23.51190476,0.028502724,353.05
37000,23.11507937,0.029065082,362.848
38000,23.41269841,0.028904745,372.646
39000,23.80952381,0.028218034,382.472
40000,25.09920635,0.028052283,392.269
41000,23.31349206,0.028412343,402.068
42000,23.41269841,0.029099803,411.876
43000,21.82539683,0.0289213,421.672
44000,23.51190476,0.029159685,431.467
45000,23.21428571,0.029615473,441.265
46000,22.02380952,0.029479013,451.064
47000,20.63492063,0.029405673,460.863
48000,22.12301587,0.029854027,470.661
49000,22.51984127,0.02958924,480.458
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Accuracy,Err,Time
0,4.662698413,0.028362443,0.315
1000,10.21825397,0.028246605,13.868
2000,13.98809524,0.027744886,27.401
3000,15.77380952,0.027362437,40.934
4000,18.65079365,0.027022241,54.468
5000,19.74206349,0.026952331,68.011
6000,20.83333333,0.027159753,81.545
7000,20.13888889,0.027072879,95.079
8000,22.12301587,0.027215793,108.61
9000,22.91666667,0.027433204,122.137
10000,23.71031746,0.027221697,135.706
11000,23.90873016,0.027307326,149.24
12000,23.51190476,0.027386598,162.778
13000,23.90873016,0.027442116,176.306
14000,23.90873016,0.02754028,189.841
15000,25.29761905,0.027544329,203.376
16000,24.6031746,0.027938105,216.913
17000,24.70238095,0.027570722,230.449
18000,23.90873016,0.02829681,243.984
19000,24.4047619,0.027687765,257.519
20000,23.61111111,0.02791106,271.052
21000,26.88492063,0.027121255,284.61
22000,26.78571429,0.026867123,298.141
23000,25.89285714,0.026543506,311.668
24000,26.88492063,0.026492481,325.2
25000,27.97619048,0.025682062,338.749
26000,26.58730159,0.02615223,352.279
27000,27.08333333,0.025751489,365.812
28000,29.16666667,0.025470679,379.342
29000,30.05952381,0.025196954,392.874
30000,29.46428571,0.025265418,406.405
31000,29.56349206,0.024632172,419.934
32000,29.96031746,0.024550084,433.464
33000,28.96825397,0.02458976,447
34000,30.25793651,0.024581381,460.536
35000,29.46428571,0.024928266,474.07
36000,29.86111111,0.024683332,487.613
37000,28.37301587,0.025005276,501.141
38000,30.45634921,0.024245118,514.673
39000,31.74603175,0.024424922,528.199
40000,32.34126984,0.024098159,541.726
41000,31.4484127,0.024255313,555.273
42000,35.41666667,0.022955161,568.805
43000,34.32539683,0.023192173,582.362
44000,36.60714286,0.022558623,595.889
45000,37.8968254,0.022201798,609.417
46000,37.00396825,0.022681548,622.948
47000,37.6984127,0.022827583,636.488
48000,38.0952381,0.022305725,650.02
49000,36.01190476,0.022820506,663.553
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Accuracy,Err,Time
0,1.884920635,0.036499447,0.423
1000,7.341269841,0.02849184,17.869
2000,12.79761905,0.02775123,35.305
3000,16.76587302,0.027548284,52.77
4000,16.86507937,0.027329445,70.207
5000,18.9484127,0.027243837,87.665
6000,20.23809524,0.026848048,105.104
7000,21.62698413,0.026837172,122.598
8000,21.62698413,0.027072124,140.042
9000,22.51984127,0.026372708,157.483
10000,24.10714286,0.026191929,174.927
11000,23.41269841,0.025960448,192.374
12000,24.8015873,0.025313844,209.848
13000,24.20634921,0.025462333,227.293
14000,25.89285714,0.025449294,244.741
15000,25.29761905,0.025462287,262.193
16000,26.28968254,0.025333763,279.634
17000,25.99206349,0.025391866,297.076
18000,26.98412698,0.025089326,314.517
19000,28.17460317,0.024636065,332.002
20000,26.28968254,0.025096881,349.444
21000,26.19047619,0.024969863,366.884
22000,25.99206349,0.025602885,384.327
23000,25.69444444,0.025305725,401.765
24000,25.99206349,0.025817757,419.236
25000,26.98412698,0.025476933,436.685
26000,26.78571429,0.025607864,454.126
27000,25.29761905,0.026461917,471.572
28000,24.70238095,0.025908765,489.019
29000,25.89285714,0.025669212,506.459
30000,25.89285714,0.025376672,523.897
31000,26.48809524,0.025289499,541.359
32000,28.27380952,0.02582746,558.808
33000,28.47222222,0.025561228,576.283
34000,29.26587302,0.025658084,593.736
35000,28.27380952,0.025707296,611.175
36000,29.56349206,0.025092716,628.642
37000,29.56349206,0.025014545,646.095
38000,30.05952381,0.025053157,663.534
39000,28.96825397,0.025499227,680.977
40000,29.16666667,0.025047496,698.423
41000,30.55555556,0.025092033,715.881
42000,31.25,0.024976956,733.34
43000,30.45634921,0.02547171,750.777
